曜日記号,曜日,食事,分類,メニュー,塩分/一人,塩分総量,人数(何人前),醤油,塩,だし,パン粉,粉チーズ,素材,コンソメ
0,Sun,Lunch,Down01,ピザ,3.25,13,4,,,,0,,,
0,Sun,Lunch,Down02,なし,0,0,0,,,,0,,,
0,Sun,Lunch,Up01,なし,0,0,0,,,,0,,,
0,Sun,Lunch,Up02,なし,0,0,0,,,,0,,,
0,Sun,Dinner,サラダ,サラダ,0.46,0.46,1,,,,0,,,
0,Sun,Dinner,果物,バナナ,0,0,0,,,,0,,,
0,Sun,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,0,,,
0,Sun,Dinner,メイン,野菜炒め,0.9,1.8,2,,,,0,,,
1,Mon,Lunch,Down01,タンドリーチキン,,,,,,,,,,
1,Mon,Lunch,Down02,ゼリー,0,0,0,,,,0,,,
1,Mon,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,0,,,
1,Mon,Lunch,Up02,バナナ,0,0,0,,,,0,,,
1,Mon,Dinner,サラダ,サラダ,0.46,0.46,1,,,,0,,,
1,Mon,Dinner,果物,キウイ,0,0,0,,,,0,,,
1,Mon,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,0,,,
1,Mon,Dinner,メイン,青椒肉絲,,,,,,,,,,
2,Tue,Lunch,Down01,アスパラ巻き,,,,,,,,,,
2,Tue,Lunch,Down02,ゼリー,0,0,0,,,,0,,,
2,Tue,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,0,,,
2,Tue,Lunch,Up02,キウイ,0,0,0,,,,0,,,
2,Tue,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,0,,,
2,Tue,Dinner,果物,バナナ,0,0,0,,,,0,,,
2,Tue,Dinner,汁物,豚汁,0.9085,5.451,6,,,,0,,,
2,Tue,Dinner,メイン,鶏肉とたけのこの煮物,,,,,,,,,,
3,Wed,Lunch,Down01,筑前煮,,,,,,,,,,
3,Wed,Lunch,Down02,ゼリー,0,0,0,,,,0,,,
3,Wed,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,0,,,
3,Wed,Lunch,Up02,バナナ,0,0,0,,,,0,,,
3,Wed,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,0,,,
3,Wed,Dinner,果物,キウイ,0,0,0,,,,0,,,
3,Wed,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,0,,,
3,Wed,Dinner,メイン,餃子,,,,,,,,,,
4,Thr,Lunch,Down01,野菜炒め,,,,,,,,,,
4,Thr,Lunch,Down02,ゼリー,0,0,0,,,,0,,,
4,Thr,Lunch,Up01,卵ソーセージ,0.9625,1.925,2,,,,0,,,
4,Thr,Lunch,Up02,キウイ,0,0,0,,,,0,,,
4,Thr,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,0,,,
4,Thr,Dinner,果物,バナナ,0,0,0,,,,0,,,
4,Thr,Dinner,汁物,豚汁,0.9085,5.451,6,,,,0,,,
4,Thr,Dinner,メイン,カツ丼,,,,,,,,,,
5,Fri,Lunch,Down01,なし,,,,,,,,,,
5,Fri,Lunch,Down02,なし,0,0,0,,,,0,,,
5,Fri,Lunch,Up01,なし,0.9625,1.925,2,,,,0,,,
5,Fri,Lunch,Up02,なし,0,0,0,,,,0,,,
5,Fri,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,0,,,
5,Fri,Dinner,果物,キウイ,0,0,0,,,,0,,,
5,Fri,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,0,,,
5,Fri,Dinner,メイン,生姜焼き,,,,,,,,,,
6,Sat,Lunch,Down01,うどん,,,,,,,,,,
6,Sat,Lunch,Down02,なし,0,0,0,,,,0,,,
6,Sat,Lunch,Up01,なし,0.9625,1.925,2,,,,0,,,
6,Sat,Lunch,Up02,なし,0,0,0,,,,0,,,
6,Sat,Dinner,サラダ,シーチキンサラダ,0.46,0.46,1,,,,0,,,
6,Sat,Dinner,果物,バナナ,0,0,0,,,,0,,,
6,Sat,Dinner,汁物,味噌汁,0.9085,5.451,6,,,,0,,,
6,Sat,Dinner,メイン,さしみ,,,,,,,,,,
